"Day","AvTemp","AvWat","Rainfall"
1,5.995,0.131333333,1.31333333
2,8.244,0.113875,1.13875
3,9.64,0.127875,1.27875
4,9.065,0.14675,1.4675
5,8.1835,0.130833333,1.30833333
6,8.7775,0.112416667,1.12416667
7,9.11,0.101833333,1.01833333
8,8.9985,0.096458333,0.96458333
9,3.1445,0.092125,0.92125
10,3.1125,0.088166667,0.88166667
11,4.143,0.08975,0.8975
12,3.2575,0.096791667,0.96791667
13,0.6125,0.110583333,1.10583333
14,3.903,0.097958333,0.97958333
15,1.616,0.092166667,0.92166667
16,0.9445,0.116708333,1.16708333
17,2.5545,0.160458333,1.60458333
18,1.367,0.144791667,1.44791667
19,0.5935,0.120958333,1.20958333
20,0.917,0.111166667,1.11166667
21,1.903,0.103375,1.03375
22,1.3315,0.097,0.97
23,1.89,0.091875,0.91875
24,1.03,0.086666667,0.86666667
25,1.7555,0.081791667,0.81791667
26,5.5655,0.07825,0.7825
27,7.217,0.073958333,0.73958333
28,5.8375,0.070416667,0.70416667
29,9.4245,0.067833333,0.67833333
30,4.19,0.068333333,0.68333333
31,4.74,0.088583333,0.88583333
32,5.522,0.086625,0.86625
33,2.6085,0.131333333,1.31333333
34,4.839,0.113875,1.13875
35,7.5895,0.127875,1.27875
36,4.813,0.14675,1.4675
37,3.8935,0.130833333,1.30833333
38,3.2855,0.112416667,1.12416667
39,6.1335,0.101833333,1.01833333
40,6.765,0.096458333,0.96458333
41,6.4145,0.092125,0.92125
42,4.7425,0.088166667,0.88166667
43,3.8405,0.08975,0.8975
44,5.5335,0.096791667,0.96791667
45,7.613,0.110583333,1.10583333
46,6.3165,0.097958333,0.97958333
47,7.9655,0.092166667,0.92166667
48,5.6235,0.116708333,1.16708333
49,5.4265,0.160458333,1.60458333
50,3.927,0.144791667,1.44791667
51,2.9285,0.120958333,1.20958333
52,1.6565,0.111166667,1.11166667
53,0.935,0.103375,1.03375
54,2.49,0.097,0.97
55,2.637,0.091875,0.91875
56,2.4315,0.086666667,0.86666667
57,6.818,0.081791667,0.81791667
58,3.9585,0.07825,0.7825
59,5.842,0.073958333,0.73958333
60,4.2765,0.070416667,0.70416667
61,3.76,0.067833333,0.67833333
62,2.707,0.068333333,0.68333333
63,6.296,0.088583333,0.88583333
64,6.904,0.086625,0.86625
65,8.5255,0.116041667,1.16041667
66,9.525,0.127333333,1.27333333
67,10.3945,0.131291667,1.31291667
68,8.5805,0.108458333,1.08458333
69,3.498,0.106166667,1.06166667
70,0.3965,0.09775,0.9775
71,1.9625,0.08925,0.8925
72,3.9785,0.08825,0.8825
73,2.33,0.089625,0.89625
74,7.368,0.101416667,1.01416667
75,4.232,0.096916667,0.96916667
76,4.9225,0.096541667,0.96541667
77,5.411,0.08875,0.8875
78,4.8665,0.083875,0.83875
79,4.92,0.096916667,0.96916667
80,4.507,0.144541667,1.44541667
81,3.4375,0.128625,1.28625
82,3.219,0.107833333,1.07833333
83,1.461,0.100041667,1.00041667
84,3.158,0.099375,0.99375
85,2.1335,0.136583333,1.36583333
86,2.3815,0.11475,1.1475
