x,y,z,ID,Gi,Hight,Emerge,Hit,Hit.H,Hit.oriant,Hit.size,Hit.stik
184,160,39,1,0,39,0,0,0,36,0.0,1
158,123,39,2,0,39,0,0,0,36,0.0,1
187,11,39,3,0,39,0,0,0,36,0.0,1
51,27,39,4,0,39,0,0,0,36,0.0,1
96,222,39,5,0,39,0,0,0,36,0.0,1
187,144,39,6,0,39,0,0,0,36,0.0,1
86,277,39,7,0,39,0,0,0,36,0.0,1
156,13,39,8,0,39,0,0,0,36,0.0,1
126,248,39,9,0,39,0,0,0,36,0.0,1
74,36,39,10,0,39,0,0,0,36,0.0,1
36,218,39,11,0,39,0,0,0,36,0.0,1
17,275,39,12,0,39,0,0,0,36,0.0,1
168,138,39,13,0,39,0,0,0,36,0.0,1
153,295,39,14,0,39,0,0,0,36,0.0,1
153,247,39,15,1,45.7743828275,y,0,0,36,0.0,1
42,245,39,16,0,39,0,0,0,36,0.0,1
47,222,39,17,0,39,0,0,0,36,0.0,1
44,55,39,18,0,39,0,0,0,36,0.0,1
188,43,39,19,1,46.8759596637,y,0,0,36,0.0,1
5,338,39,20,0,39,0,0,0,36,0.0,1
111,308,39,21,0,39,0,0,0,36,0.0,1
173,3,39,22,0,39,0,0,0,36,0.0,1
37,203,39,23,0,39,0,0,0,36,0.0,1
83,211,39,24,0,39,0,0,0,36,0.0,1
50,75,39,25,0,39,0,0,0,36,0.0,1
154,90,39,26,0,39,0,0,0,36,0.0,1
102,86,39,27,0,39,0,0,0,36,0.0,1
22,202,39,28,0,39,0,0,0,36,0.0,1
191,216,39,29,0,39,0,0,0,36,0.0,1
159,80,39,30,0,39,0,0,0,36,0.0,1
98,111,39,31,0,39,0,0,0,36,0.0,1
103,127,39,32,0,39,0,0,0,36,0.0,1
145,85,39,33,0,39,0,0,0,36,0.0,1
88,19,39,34,0,39,0,0,0,36,0.0,1
99,234,39,35,0,39,0,0,0,36,0.0,1
53,158,39,36,0,39,0,0,0,36,0.0,1
103,121,39,37,0,39,0,0,0,36,0.0,1
103,199,39,38,0,39,0,0,0,36,0.0,1
124,349,39,39,0,39,0,0,0,36,0.0,1
159,222,39,40,0,39,0,0,0,36,0.0,1
108,79,39,41,0,39,0,0,0,36,0.0,1
135,47,39,42,0,39,0,0,0,36,0.0,1
166,345,39,43,0,39,0,0,0,36,0.0,1
113,216,39,44,0,39,0,0,0,36,0.0,1
65,84,39,45,0,39,0,0,0,36,0.0,1
89,101,39,46,0,39,0,0,0,36,0.0,1
83,187,39,47,0,39,0,0,0,36,0.0,1
9,141,39,48,0,39,0,0,0,36,0.0,1
99,15,39,49,0,39,0,0,0,36,0.0,1
171,71,39,50,0,39,0,0,0,36,0.0,1
47,207,39,51,0,39,0,0,0,36,0.0,1
13,315,39,52,0,39,0,0,0,36,0.0,1
7,252,39,53,0,39,0,0,0,36,0.0,1
65,151,39,54,0,39,0,0,0,36,0.0,1
8,146,39,55,0,39,0,0,0,36,0.0,1
88,254,39,56,0,39,0,0,0,36,0.0,1
130,13,39,57,0,39,0,0,0,36,0.0,1
148,87,39,58,0,39,0,0,0,36,0.0,1
174,39,39,59,0,39,0,0,0,36,0.0,1
29,339,39,60,0,39,0,0,0,36,0.0,1
148,267,39,61,0,39,0,0,0,36,0.0,1
181,153,39,62,0,39,0,0,0,36,0.0,1
69,279,39,63,0,39,0,0,0,36,0.0,1
153,105,39,64,0,39,0,0,0,36,0.0,1
159,32,39,65,0,39,0,0,0,36,0.0,1
43,206,39,66,0,39,0,0,0,36,0.0,1
136,108,39,67,0,39,0,0,0,36,0.0,1
130,153,39,68,0,39,0,0,0,36,0.0,1
194,39,39,69,0,39,0,0,0,36,0.0,1
185,318,39,70,0,39,0,0,0,36,0.0,1
131,356,39,71,0,39,0,0,0,36,0.0,1
117,214,39,72,0,39,0,0,0,36,0.0,1
37,76,39,73,0,39,0,0,0,36,0.0,1
120,53,39,74,0,39,0,0,0,36,0.0,1
96,28,39,75,0,39,0,0,0,36,0.0,1
128,43,39,76,0,39,0,0,0,36,0.0,1
108,352,39,77,0,39,0,0,0,36,0.0,1
154,253,39,78,0,39,0,0,0,36,0.0,1
184,261,39,79,0,39,0,0,0,36,0.0,1
166,169,39,80,0,39,0,0,0,36,0.0,1
184,115,39,81,1,39,0,0,0,36,0.0,1
144,116,39,82,0,39,0,0,0,36,0.0,1
133,65,39,83,0,39,0,0,0,36,0.0,1
39,319,39,84,0,39,0,0,0,36,0.0,1
46,253,39,85,0,39,0,0,0,36,0.0,1
7,23,39,86,1,45.7743828275,y,0,0,36,0.0,1
9,189,39,87,0,39,0,0,0,36,0.0,1
176,70,39,88,0,39,0,0,0,36,0.0,1
48,122,39,89,0,39,0,0,0,36,0.0,1
97,113,39,90,0,39,0,0,0,36,0.0,1
127,144,39,91,0,39,0,0,0,36,0.0,1
21,295,39,92,0,39,0,0,0,36,0.0,1
129,305,39,93,0,39,0,0,0,36,0.0,1
86,219,39,94,0,39,0,0,0,36,0.0,1
156,274,39,95,0,39,0,0,0,36,0.0,1
90,5,39,96,0,39,0,0,0,36,0.0,1
167,251,39,97,0,39,0,0,0,36,0.0,1
154,60,39,98,1,46.8759596637,y,0,0,36,0.0,1
129,192,39,99,0,39,0,0,0,36,0.0,1
78,174,39,100,0,39,0,0,0,36,0.0,1
190,251,39,101,0,39,0,0,0,36,0.0,1
115,44,39,102,0,39,0,0,0,36,0.0,1
61,272,39,103,0,39,0,0,0,36,0.0,1
32,310,39,104,0,39,0,0,0,36,0.0,1
18,161,39,105,0,39,0,0,0,36,0.0,1
101,47,39,106,0,39,0,0,0,36,0.0,1
143,179,39,107,0,39,0,0,0,36,0.0,1
141,61,39,108,0,39,0,0,0,36,0.0,1
1,95,39,109,0,39,0,0,0,36,0.0,1
126,43,39,110,0,39,0,0,0,36,0.0,1
123,334,39,111,0,39,0,0,0,36,0.0,1
128,229,39,112,0,39,0,0,0,36,0.0,1
140,356,39,113,0,39,0,0,0,36,0.0,1
153,42,39,114,0,39,0,0,0,36,0.0,1
48,61,39,115,0,39,0,0,0,36,0.0,1
177,212,39,116,0,39,0,0,0,36,0.0,1
199,229,39,117,1,46.8759596637,y,0,0,36,0.0,1
108,154,39,118,0,39,0,0,0,36,0.0,1
41,240,39,119,0,39,0,0,0,36,0.0,1
112,40,39,120,0,39,0,0,0,36,0.0,1
146,5,39,121,0,39,0,0,0,36,0.0,1
154,350,39,122,0,39,0,0,0,36,0.0,1
3,212,39,123,0,39,0,0,0,36,0.0,1
79,282,39,124,0,39,0,0,0,36,0.0,1
74,200,39,125,0,39,0,0,0,36,0.0,1
198,200,39,126,0,39,0,0,0,36,0.0,1
138,35,39,127,0,39,0,0,0,36,0.0,1
30,61,39,128,0,39,0,0,0,36,0.0,1
83,199,39,129,0,39,0,0,0,36,0.0,1
