i,d,STTi,STTid,Gi,TTd,l.t,DG,HLi,Emerge,RanCrust,RanWat
1,0,250.0,0,0,0,0,0,1,0,0.9,0.3
2,0,80.0,0,0,0,0,0,1,0,0.9,0.3
3,0,80.0,0,0,0,0,0,1,0,0.9,0.25
4,0,80.0,0,0,0,0,0,1,0,0.9,0.25
5,0,99999.0,0,0,0,0,0,1,0,0.9,0.3
6,0,80.0,0,0,0,0,0,1,0,0.9,0.3
7,0,80.0,0,0,0,0,0,1,0,0.9,0.3
8,0,120.0,0,0,0,0,0,1,0,0.9,0.3
9,0,120.0,0,0,0,0,0,1,0,0.9,0.1
10,0,80.0,0,0,0,0,0,1,0,0.9,0.3
11,0,80.0,0,0,0,0,0,1,0,0.9,0.3
12,0,50.0,0,0,0,0,0,1,0,0.9,0.3
13,0,180.0,0,0,0,0,0,1,0,0.9,0.3
14,0,80.0,0,0,0,0,0,1,0,0.9,0.25
15,0,50.0,0,0,0,0,0,1,0,0.9,0.15
16,0,250.0,0,0,0,0,0,1,0,0.9,0.3
17,0,50.0,0,0,0,0,0,1,0,0.9,0.25
18,0,120.0,0,0,0,0,0,1,0,0.9,0.25
19,0,80.0,0,0,0,0,0,1,0,0.9,0.1
20,0,80.0,0,0,0,0,0,1,0,0.9,0.3
21,0,80.0,0,0,0,0,0,1,0,0.9,0.3
22,0,50.0,0,0,0,0,0,1,0,0.9,0.3
23,0,99999.0,0,0,0,0,0,1,0,0.9,0.3
24,0,80.0,0,0,0,0,0,1,0,0.9,0.25
25,0,180.0,0,0,0,0,0,1,0,0.9,0.3
26,0,120.0,0,0,0,0,0,1,0,0.9,0.3
27,0,180.0,0,0,0,0,0,1,0,0.9,0.3
28,0,80.0,0,0,0,0,0,1,0,0.9,0.3
29,0,80.0,0,0,0,0,0,1,0,0.9,0.3
30,0,180.0,0,0,0,0,0,1,0,0.9,0.3
31,0,250.0,0,0,0,0,0,1,0,0.9,0.3
32,0,350.0,0,0,0,0,0,1,0,0.9,0.3
33,0,50.0,0,0,0,0,0,1,0,0.9,0.25
34,0,350.0,0,0,0,0,0,1,0,0.9,0.3
35,0,99999.0,0,0,0,0,0,1,0,0.9,0.15
36,0,120.0,0,0,0,0,0,1,0,0.9,0.25
37,0,80.0,0,0,0,0,0,1,0,0.9,0.25
38,0,180.0,0,0,0,0,0,1,0,0.9,0.25
39,0,250.0,0,0,0,0,0,1,0,0.9,0.25
40,0,120.0,0,0,0,0,0,1,0,0.9,0.25
41,0,99999.0,0,0,0,0,0,1,0,0.9,0.3
42,0,80.0,0,0,0,0,0,1,0,0.9,0.25
43,0,99999.0,0,0,0,0,0,1,0,0.9,0.3
44,0,50.0,0,0,0,0,0,1,0,0.9,0.3
45,0,180.0,0,0,0,0,0,1,0,0.9,0.2
46,0,99999.0,0,0,0,0,0,1,0,0.9,0.3
47,0,120.0,0,0,0,0,0,1,0,0.9,0.3
48,0,120.0,0,0,0,0,0,1,0,0.9,0.3
49,0,99999.0,0,0,0,0,0,1,0,0.9,0.3
50,0,80.0,0,0,0,0,0,1,0,0.9,0.2
51,0,180.0,0,0,0,0,0,1,0,0.9,0.3
52,0,120.0,0,0,0,0,0,1,0,0.9,0.25
53,0,250.0,0,0,0,0,0,1,0,0.9,0.3
54,0,350.0,0,0,0,0,0,1,0,0.9,0.3
55,0,120.0,0,0,0,0,0,1,0,0.9,0.25
56,0,120.0,0,0,0,0,0,1,0,0.9,0.3
57,0,80.0,0,0,0,0,0,1,0,0.9,0.25
58,0,50.0,0,0,0,0,0,1,0,0.9,0.3
59,0,120.0,0,0,0,0,0,1,0,0.9,0.3
60,0,99999.0,0,0,0,0,0,1,0,0.9,0.3
61,0,80.0,0,0,0,0,0,1,0,0.9,0.3
62,0,120.0,0,0,0,0,0,1,0,0.9,0.25
63,0,120.0,0,0,0,0,0,1,0,0.9,0.3
64,0,99999.0,0,0,0,0,0,1,0,0.9,0.3
65,0,250.0,0,0,0,0,0,1,0,0.9,0.3
66,0,120.0,0,0,0,0,0,1,0,0.9,0.1
67,0,20.0,0,0,0,0,0,1,0,0.9,0.25
68,0,180.0,0,0,0,0,0,1,0,0.9,0.25
69,0,50.0,0,0,0,0,0,1,0,0.9,0.25
70,0,80.0,0,0,0,0,0,1,0,0.9,0.25
71,0,120.0,0,0,0,0,0,1,0,0.9,0.1
72,0,80.0,0,0,0,0,0,1,0,0.9,0.3
73,0,80.0,0,0,0,0,0,1,0,0.9,0.3
74,0,50.0,0,0,0,0,0,1,0,0.9,0.25
75,0,180.0,0,0,0,0,0,1,0,0.9,0.3
